word,lemma,notes
конфликт,конфликт,No audio in Lingua Libre (needs Common Voice or recording)
воен,воен,No audio in Lingua Libre (needs Common Voice or recording)
безмилосен,безмилосен,No audio in Lingua Libre (needs Common Voice or recording)
имено,имено,No audio in Lingua Libre (needs Common Voice or recording)
плоча,плоча,No audio in Lingua Libre (needs Common Voice or recording)
поразлична,поразлична,No audio in Lingua Libre (needs Common Voice or recording)
уникатна,уникатна,No audio in Lingua Libre (needs Common Voice or recording)
нејзината,нејзината,No audio in Lingua Libre (needs Common Voice or recording)
деби,деби,No audio in Lingua Libre (needs Common Voice or recording)
композиции,композиции,No audio in Lingua Libre (needs Common Voice or recording)
избор,избор,No audio in Lingua Libre (needs Common Voice or recording)
конечниот,конечниот,No audio in Lingua Libre (needs Common Voice or recording)
влегла,влегла,No audio in Lingua Libre (needs Common Voice or recording)
иако,иако,No audio in Lingua Libre (needs Common Voice or recording)
студиски,студиски,No audio in Lingua Libre (needs Common Voice or recording)
вклучено,вклучено,No audio in Lingua Libre (needs Common Voice or recording)
преработено,преработено,No audio in Lingua Libre (needs Common Voice or recording)
антракс,антракс,No audio in Lingua Libre (needs Common Voice or recording)
четворка,четворка,No audio in Lingua Libre (needs Common Voice or recording)
големата,големата,No audio in Lingua Libre (needs Common Voice or recording)
уште,уште,No audio in Lingua Libre (needs Common Voice or recording)
смртна,смртна,No audio in Lingua Libre (needs Common Voice or recording)
очекувала,очекувала,No audio in Lingua Libre (needs Common Voice or recording)
покорат,покорат,No audio in Lingua Libre (needs Common Voice or recording)
доведени,доведени,No audio in Lingua Libre (needs Common Voice or recording)
биле,биле,No audio in Lingua Libre (needs Common Voice or recording)
власт,власт,No audio in Lingua Libre (needs Common Voice or recording)
доминација,доминација,No audio in Lingua Libre (needs Common Voice or recording)
силни,силни,No audio in Lingua Libre (needs Common Voice or recording)
покорил,покорил,No audio in Lingua Libre (needs Common Voice or recording)
битките,битките,No audio in Lingua Libre (needs Common Voice or recording)
непобедлив,непобедлив,No audio in Lingua Libre (needs Common Voice or recording)
господар,господар,No audio in Lingua Libre (needs Common Voice or recording)
фантомски,фантомски,No audio in Lingua Libre (needs Common Voice or recording)
суштество,суштество,No audio in Lingua Libre (needs Common Voice or recording)
митското,митското,No audio in Lingua Libre (needs Common Voice or recording)
придонеси,придонеси,No audio in Lingua Libre (needs Common Voice or recording)
третата,третата,No audio in Lingua Libre (needs Common Voice or recording)
рифови,рифови,No audio in Lingua Libre (needs Common Voice or recording)
најдобри,најдобри,No audio in Lingua Libre (needs Common Voice or recording)
слушателите,слушателите,No audio in Lingua Libre (needs Common Voice or recording)
сме,сме,No audio in Lingua Libre (needs Common Voice or recording)
зашто,зашто,No audio in Lingua Libre (needs Common Voice or recording)
прекинеме,прекинеме,No audio in Lingua Libre (needs Common Voice or recording)
запреме,запреме,No audio in Lingua Libre (needs Common Voice or recording)
стихот,стихот,No audio in Lingua Libre (needs Common Voice or recording)
највпечатлив,највпечатлив,No audio in Lingua Libre (needs Common Voice or recording)
нејзините,нејзините,No audio in Lingua Libre (needs Common Voice or recording)
културата,културата,No audio in Lingua Libre (needs Common Voice or recording)
хеви,хеви,No audio in Lingua Libre (needs Common Voice or recording)
раскажува,раскажува,No audio in Lingua Libre (needs Common Voice or recording)
динамичен,динамичен,No audio in Lingua Libre (needs Common Voice or recording)
агресивното,агресивното,No audio in Lingua Libre (needs Common Voice or recording)
преку,преку,No audio in Lingua Libre (needs Common Voice or recording)
пантера,пантера,No audio in Lingua Libre (needs Common Voice or recording)
моторхед,моторхед,No audio in Lingua Libre (needs Common Voice or recording)
најпознати,најпознати,No audio in Lingua Libre (needs Common Voice or recording)
верзии,верзии,No audio in Lingua Libre (needs Common Voice or recording)
свои,свои,No audio in Lingua Libre (needs Common Voice or recording)
направиле,направиле,No audio in Lingua Libre (needs Common Voice or recording)
бендови,бендови,No audio in Lingua Libre (needs Common Voice or recording)
автори,автори,No audio in Lingua Libre (needs Common Voice or recording)
чии,чии,No audio in Lingua Libre (needs Common Voice or recording)
цд,цд,No audio in Lingua Libre (needs Common Voice or recording)
сингл,сингл,No audio in Lingua Libre (needs Common Voice or recording)
беше,беше,No audio in Lingua Libre (needs Common Voice or recording)
електрични,електрични,No audio in Lingua Libre (needs Common Voice or recording)
другите,другите,No audio in Lingua Libre (needs Common Voice or recording)
гитарата,гитарата,No audio in Lingua Libre (needs Common Voice or recording)
истакнувањето,истакнувањето,No audio in Lingua Libre (needs Common Voice or recording)
басот,басот,No audio in Lingua Libre (needs Common Voice or recording)
помеѓу,помеѓу,No audio in Lingua Libre (needs Common Voice or recording)
неусогласеност,неусогласеност,No audio in Lingua Libre (needs Common Voice or recording)
тешка,тешка,No audio in Lingua Libre (needs Common Voice or recording)
одликува,одликува,No audio in Lingua Libre (needs Common Voice or recording)
покојниот,покојниот,No audio in Lingua Libre (needs Common Voice or recording)
музицирање,музицирање,No audio in Lingua Libre (needs Common Voice or recording)
виртуозното,виртуозното,No audio in Lingua Libre (needs Common Voice or recording)
класичен,класичен,No audio in Lingua Libre (needs Common Voice or recording)
инструменталка,инструменталка,No audio in Lingua Libre (needs Common Voice or recording)
очекува,очекува,No audio in Lingua Libre (needs Common Voice or recording)
слушателот,слушателот,No audio in Lingua Libre (needs Common Voice or recording)
каже,каже,No audio in Lingua Libre (needs Common Voice or recording)
цел,цел,No audio in Lingua Libre (needs Common Voice or recording)
упаѓај,упаѓај,No audio in Lingua Libre (needs Common Voice or recording)
вели,вели,No audio in Lingua Libre (needs Common Voice or recording)
втората,втората,No audio in Lingua Libre (needs Common Voice or recording)
вклучуваат,вклучуваат,No audio in Lingua Libre (needs Common Voice or recording)
тапани,тапани,No audio in Lingua Libre (needs Common Voice or recording)
придружена,придружена,No audio in Lingua Libre (needs Common Voice or recording)
клиф,клиф,No audio in Lingua Libre (needs Common Voice or recording)
солажа,солажа,No audio in Lingua Libre (needs Common Voice or recording)
анестезија,анестезија,No audio in Lingua Libre (needs Common Voice or recording)
пеколот,пеколот,No audio in Lingua Libre (needs Common Voice or recording)
горат,горат,No audio in Lingua Libre (needs Common Voice or recording)
потоа,потоа,No audio in Lingua Libre (needs Common Voice or recording)
убиството,убиството,No audio in Lingua Libre (needs Common Voice or recording)
сторат,сторат,No audio in Lingua Libre (needs Common Voice or recording)
повикува,повикува,No audio in Lingua Libre (needs Common Voice or recording)
сатаната,сатаната,No audio in Lingua Libre (needs Common Voice or recording)
огнот,огнот,No audio in Lingua Libre (needs Common Voice or recording)
скокај,скокај,No audio in Lingua Libre (needs Common Voice or recording)
рефренот,рефренот,No audio in Lingua Libre (needs Common Voice or recording)
зло,зло,No audio in Lingua Libre (needs Common Voice or recording)
вршат,вршат,No audio in Lingua Libre (needs Common Voice or recording)
луѓето,луѓето,No audio in Lingua Libre (needs Common Voice or recording)
наведува,наведува,No audio in Lingua Libre (needs Common Voice or recording)
ѓаволот,ѓаволот,No audio in Lingua Libre (needs Common Voice or recording)
верзија,верзија,No audio in Lingua Libre (needs Common Voice or recording)
конечната,конечната,No audio in Lingua Libre (needs Common Voice or recording)
фрустрации,фрустрации,No audio in Lingua Libre (needs Common Voice or recording)
тинејџерските,тинејџерските,No audio in Lingua Libre (needs Common Voice or recording)
говорело,говорело,No audio in Lingua Libre (needs Common Voice or recording)
оригиналниот,оригиналниот,No audio in Lingua Libre (needs Common Voice or recording)
онаа,онаа,No audio in Lingua Libre (needs Common Voice or recording)
слична,слична,No audio in Lingua Libre (needs Common Voice or recording)
следат,следат,No audio in Lingua Libre (needs Common Voice or recording)
нѐ,нѐ,No audio in Lingua Libre (needs Common Voice or recording)
опасностите,опасностите,No audio in Lingua Libre (needs Common Voice or recording)
грижа,грижа,No audio in Lingua Libre (needs Common Voice or recording)
немање,немање,No audio in Lingua Libre (needs Common Voice or recording)
брзиот,брзиот,No audio in Lingua Libre (needs Common Voice or recording)
изведувана,изведувана,No audio in Lingua Libre (needs Common Voice or recording)
често,често,No audio in Lingua Libre (needs Common Voice or recording)
омилените,омилените,No audio in Lingua Libre (needs Common Voice or recording)
воопшто,воопшто,No audio in Lingua Libre (needs Common Voice or recording)
најкратката,најкратката,No audio in Lingua Libre (needs Common Voice or recording)
доделени,доделени,No audio in Lingua Libre (needs Common Voice or recording)
заслуги,заслуги,No audio in Lingua Libre (needs Common Voice or recording)
дискографија,дискографија,No audio in Lingua Libre (needs Common Voice or recording)
целокупната,целокупната,No audio in Lingua Libre (needs Common Voice or recording)
единствена,единствена,No audio in Lingua Libre (needs Common Voice or recording)
фигурира,фигурира,No audio in Lingua Libre (needs Common Voice or recording)
мегадет,мегадет,No audio in Lingua Libre (needs Common Voice or recording)
наоѓа,наоѓа,No audio in Lingua Libre (needs Common Voice or recording)
оригиналната,оригиналната,No audio in Lingua Libre (needs Common Voice or recording)
речиси,речиси,No audio in Lingua Libre (needs Common Voice or recording)
мелодиско,мелодиско,No audio in Lingua Libre (needs Common Voice or recording)
двоминутно,двоминутно,No audio in Lingua Libre (needs Common Voice or recording)
вметнал,вметнал,No audio in Lingua Libre (needs Common Voice or recording)
сменил,сменил,No audio in Lingua Libre (needs Common Voice or recording)
бензинска,бензинска,No audio in Lingua Libre (needs Common Voice or recording)
фантазии,фантазии,No audio in Lingua Libre (needs Common Voice or recording)
неговите,неговите,No audio in Lingua Libre (needs Common Voice or recording)
говорел,говорел,No audio in Lingua Libre (needs Common Voice or recording)
првично,првично,No audio in Lingua Libre (needs Common Voice or recording)
преработиле,преработиле,No audio in Lingua Libre (needs Common Voice or recording)
целосно,целосно,No audio in Lingua Libre (needs Common Voice or recording)
бендот,бендот,No audio in Lingua Libre (needs Common Voice or recording)
исфрлање,исфрлање,No audio in Lingua Libre (needs Common Voice or recording)
неговото,неговото,No audio in Lingua Libre (needs Common Voice or recording)
дејв,дејв,No audio in Lingua Libre (needs Common Voice or recording)
оригинално,оригинално,No audio in Lingua Libre (needs Common Voice or recording)
земјата,земјата,No audio in Lingua Libre (needs Common Voice or recording)
појават,појават,No audio in Lingua Libre (needs Common Voice or recording)
јавачите,јавачите,No audio in Lingua Libre (needs Common Voice or recording)
неверниците,неверниците,No audio in Lingua Libre (needs Common Voice or recording)
снајде,снајде,No audio in Lingua Libre (needs Common Voice or recording)
нарекуваат,нарекуваат,No audio in Lingua Libre (needs Common Voice or recording)
себеси,себеси,No audio in Lingua Libre (needs Common Voice or recording)
самите,самите,No audio in Lingua Libre (needs Common Voice or recording)
тврдат,тврдат,No audio in Lingua Libre (needs Common Voice or recording)
меѓутоа,меѓутоа,No audio in Lingua Libre (needs Common Voice or recording)
апокалипсата,апокалипсата,No audio in Lingua Libre (needs Common Voice or recording)
јавачи,јавачи,No audio in Lingua Libre (needs Common Voice or recording)
четворицата,четворицата,No audio in Lingua Libre (needs Common Voice or recording)
работи,работи,No audio in Lingua Libre (needs Common Voice or recording)
забележува,забележува,No audio in Lingua Libre (needs Common Voice or recording)
обично,обично,No audio in Lingua Libre (needs Common Voice or recording)
поизведуваните,поизведуваните,No audio in Lingua Libre (needs Common Voice or recording)
клубови,клубови,No audio in Lingua Libre (needs Common Voice or recording)
свирки,свирки,No audio in Lingua Libre (needs Common Voice or recording)
вечерни,вечерни,No audio in Lingua Libre (needs Common Voice or recording)
лудилото,лудилото,No audio in Lingua Libre (needs Common Voice or recording)
посветена,посветена,No audio in Lingua Libre (needs Common Voice or recording)
прво,прво,No audio in Lingua Libre (needs Common Voice or recording)
нивното,нивното,No audio in Lingua Libre (needs Common Voice or recording)
најде,најде,No audio in Lingua Libre (needs Common Voice or recording)
може,може,No audio in Lingua Libre (needs Common Voice or recording)
искомпонирале,искомпонирале,No audio in Lingua Libre (needs Common Voice or recording)
заедно,заедно,No audio in Lingua Libre (needs Common Voice or recording)
претходен,претходен,No audio in Lingua Libre (needs Common Voice or recording)
неговиот,неговиот,No audio in Lingua Libre (needs Common Voice or recording)
напишал,напишал,No audio in Lingua Libre (needs Common Voice or recording)
снимено,снимено,No audio in Lingua Libre (needs Common Voice or recording)
првата,првата,No audio in Lingua Libre (needs Common Voice or recording)
ниво,ниво,No audio in Lingua Libre (needs Common Voice or recording)
светско,светско,No audio in Lingua Libre (needs Common Voice or recording)
копии,копии,No audio in Lingua Libre (needs Common Voice or recording)
продадени,продадени,No audio in Lingua Libre (needs Common Voice or recording)
времиња,времиња,No audio in Lingua Libre (needs Common Voice or recording)
спид,спид,No audio in Lingua Libre (needs Common Voice or recording)
највлијателните,највлијателните,No audio in Lingua Libre (needs Common Voice or recording)
критика,критика,No audio in Lingua Libre (needs Common Voice or recording)
музичката,музичката,No audio in Lingua Libre (needs Common Voice or recording)
моќен,моќен,No audio in Lingua Libre (needs Common Voice or recording)
препознаваат,препознаваат,No audio in Lingua Libre (needs Common Voice or recording)
обожавателите,обожавателите,No audio in Lingua Libre (needs Common Voice or recording)
низата,низата,No audio in Lingua Libre (needs Common Voice or recording)
снимен,снимен,No audio in Lingua Libre (needs Common Voice or recording)
поимот,поимот,No audio in Lingua Libre (needs Common Voice or recording)
вистинското,вистинското,No audio in Lingua Libre (needs Common Voice or recording)
дефинира,дефинира,No audio in Lingua Libre (needs Common Voice or recording)
бонапарт,бонапарт,No audio in Lingua Libre (needs Common Voice or recording)
наполеон,наполеон,No audio in Lingua Libre (needs Common Voice or recording)
предводен,предводен,No audio in Lingua Libre (needs Common Voice or recording)
бример,бример,No audio in Lingua Libre (needs Common Voice or recording)
преврат,преврат,No audio in Lingua Libre (needs Common Voice or recording)
државниот,државниот,No audio in Lingua Libre (needs Common Voice or recording)
случува,случува,No audio in Lingua Libre (needs Common Voice or recording)
франција,франција,No audio in Lingua Libre (needs Common Voice or recording)
последна,последна,No audio in Lingua Libre (needs Common Voice or recording)
параметри,параметри,No audio in Lingua Libre (needs Common Voice or recording)
физички,физички,No audio in Lingua Libre (needs Common Voice or recording)
елементи,елементи,No audio in Lingua Libre (needs Common Voice or recording)
орбитални,орбитални,No audio in Lingua Libre (needs Common Voice or recording)
орбитата,орбитата,No audio in Lingua Libre (needs Common Voice or recording)
шема,шема,No audio in Lingua Libre (needs Common Voice or recording)
небесни,небесни,No audio in Lingua Libre (needs Common Voice or recording)
мали,мали,No audio in Lingua Libre (needs Common Voice or recording)
престолот,престолот,No audio in Lingua Libre (needs Common Voice or recording)
симнат,симнат,No audio in Lingua Libre (needs Common Voice or recording)
оженил,оженил,No audio in Lingua Libre (needs Common Voice or recording)
шведскиот,шведскиот,No audio in Lingua Libre (needs Common Voice or recording)
мансдотер,мансдотер,No audio in Lingua Libre (needs Common Voice or recording)
чест,чест,No audio in Lingua Libre (needs Common Voice or recording)
именуван,именуван,No audio in Lingua Libre (needs Common Voice or recording)
км,км,No audio in Lingua Libre (needs Common Voice or recording)
типот,типот,No audio in Lingua Libre (needs Common Voice or recording)
години,години,No audio in Lingua Libre (needs Common Voice or recording)
судир,судир,No audio in Lingua Libre (needs Common Voice or recording)
создало,создало,No audio in Lingua Libre (needs Common Voice or recording)
младо,младо,No audio in Lingua Libre (needs Common Voice or recording)
мошне,мошне,No audio in Lingua Libre (needs Common Voice or recording)
забележливо,забележливо,No audio in Lingua Libre (needs Common Voice or recording)
откриено,откриено,No audio in Lingua Libre (needs Common Voice or recording)
именувано,именувано,No audio in Lingua Libre (needs Common Voice or recording)
каринското,каринското,No audio in Lingua Libre (needs Common Voice or recording)
член,член,No audio in Lingua Libre (needs Common Voice or recording)
најсветлиот,најсветлиот,No audio in Lingua Libre (needs Common Voice or recording)
најголемиот,најголемиот,No audio in Lingua Libre (needs Common Voice or recording)
сонцето,сонцето,No audio in Lingua Libre (needs Common Voice or recording)
орбита,орбита,No audio in Lingua Libre (needs Common Voice or recording)
роден,роден,No audio in Lingua Libre (needs Common Voice or recording)
винци,винци,No audio in Lingua Libre (needs Common Voice or recording)
пјетро,пјетро,No audio in Lingua Libre (needs Common Voice or recording)
починал,починал,No audio in Lingua Libre (needs Common Voice or recording)
алтенбург,алтенбург,No audio in Lingua Libre (needs Common Voice or recording)
мајкл,мајкл,No audio in Lingua Libre (needs Common Voice or recording)
омилена,омилена,No audio in Lingua Libre (needs Common Voice or recording)
твојата,твојата,No audio in Lingua Libre (needs Common Voice or recording)
викаш,викаш,No audio in Lingua Libre (needs Common Voice or recording)
супер,супер,No audio in Lingua Libre (needs Common Voice or recording)
уморен,уморен,No audio in Lingua Libre (needs Common Voice or recording)
гледаме,гледаме,No audio in Lingua Libre (needs Common Voice or recording)
гледен,гледен,No audio in Lingua Libre (needs Common Voice or recording)
жеден,жеден,No audio in Lingua Libre (needs Common Voice or recording)
крма,крма,No audio in Lingua Libre (needs Common Voice or recording)
